Column1;Column2;Column3;Column4;Column7;Column8;Column9;Column10;Column11;Column12;Column13;Column14;Column15
13:40:56;1;25392;198,38;0,866;0,859;0,895;276,23;276,8;11,487;23,9;10,1;2,9
13:40:57;2;53517;418,1;0,659;0,581;0,971;386,69;387;8,967;34,1;13;6,9
13:40:58;3;49022;382,98;0,734;0,706;0,846;646,39;646,49;8,839;35,4;10,5;7,2
13:40:59;4;48813;381,35;0,717;0,662;0,923;821,15;820,8;7,428;35,5;9,9;6,7
13:41:00;5;44583;348,3;0,797;0,762;0,929;913,84;2,72;7,49;35,5;8,6;6,7
13:41:01;6;45292;353,84;0,792;0,726;1,049;986,43;986,77;6,57;35,6;8,9;6,6
13:41:02;7;52430;409,61;0,681;0,636;0,858;1065,17;2,14;4,653;35,6;7;5,3
13:41:03;8;47743;372,99;0,744;0,699;0,922;983,86;9,16;4,505;35,5;7,8;6
13:41:04;9;45616;356,38;0,78;0,736;0,959;988,1;4,41;4,627;35,6;8,8;6,9
13:41:05;10;47661;372,35;0,752;0,707;0,931;981,93;4,56;4,498;35,6;6,8;5,3
13:41:06;11;49183;384,24;0,725;0,676;0,926;16,47;13,96;0,26;35,6;6,9;5,3
13:41:07;12;51034;398,7;0,697;0,648;0,895;10,86;6,4;0,205;35,6;8,3;6,3
13:41:08;13;48096;375,75;0,737;0,687;0,936;10,62;9,36;0,218;35,4;8,7;6,9
13:41:09;14;48088;375,69;0,738;0,688;0,935;4,91;2,38;0,185;35,5;9,3;7,6
13:41:10;15;48836;381,53;0,728;0,678;0,924;3,37;4,07;0,177;35,6;8,3;6,9
13:41:11;16;50712;396,19;0,702;0,652;0,905;17,34;19,27;0,321;35,6;8,4;6,6
13:41:12;17;47315;369,65;0,75;0,7;0,948;6,58;5,34;0,19;35,5;8,8;7,2
13:41:13;18;50328;393,19;0,708;0,658;0,904;6,51;6,31;0,216;35,6;7,6;6,3
13:41:14;19;53129;415,07;0,671;0,623;0,869;1,75;2,03;0,187;35,7;7,1;5,4
13:41:15;20;49510;386,8;0,72;0,669;0,922;3,75;2,06;0,189;35,7;7,9;6,4
13:41:16;21;51385;401,45;0,692;0,643;0,888;2,1;2,05;0,176;35,5;9,9;7,7
13:41:17;22;52190;407,73;0,681;0,631;0,88;1,75;2,09;0,177;35,5;9,4;8,1
13:41:18;23;52972;413,84;0,672;0,622;0,87;2,43;2,09;0,177;35,6;8,9;7,6
13:41:19;24;50679;395,93;0,705;0,654;0,906;2,52;2,03;0,192;35,7;7,1;5,9
13:41:20;25;50821;397,04;0,704;0,654;0,901;1,9;2,12;0,19;35,8;6,2;5,1
13:41:21;26;53440;417,5;0,668;0,617;0,87;19,53;17,67;0,307;35,7;8,7;7,4
13:41:22;27;52714;411,83;0,678;0,627;0,879;5,96;5,36;0,194;35,7;6,8;5,4
13:41:23;28;52898;413,27;0,674;0,625;0,871;16,1;12,38;0,267;35,7;8,1;6,9
13:41:24;29;57940;452,66;0,615;0,564;0,818;17,97;19,34;0,313;35,6;9,3;7,8
13:41:25;30;58966;460,67;0,605;0,554;0,803;5,09;3,95;0,173;35,7;9,3;8,2
13:41:26;31;62392;487,44;0,572;0,521;0,775;21,37;19,47;0,368;35,7;9,8;8,6
13:41:27;32;63286;494,42;0,563;0,513;0,76;2,53;3,61;0,169;35,6;10,1;9,1
13:41:28;33;60584;473,31;0,588;0,538;0,789;9,26;9,7;0,276;35,6;9,9;8,9
13:41:29;34;64587;504,59;0,552;0,503;0,748;2,68;3,23;0,167;35,7;10,4;8,8
13:41:30;35;64561;504,38;0,552;0,502;0,749;5,71;6,22;0,171;35,6;10,5;9
13:41:31;36;65245;509,73;0,547;0,498;0,743;18,29;11,6;0,242;35,7;10,5;9,4
13:41:32;37;65132;508,84;0,548;0,498;0,745;5,51;4,45;0,172;35,7;11,1;9,6
13:41:33;38;54014;421,98;0,661;0,612;0,858;6,61;6,75;0,227;35,7;7,8;6,6
13:41:34;39;51660;403,59;0,692;0,639;0,905;21,71;24,22;0,394;35,8;6,9;5,7
13:41:35;40;57121;446,26;0,626;0,575;0,827;3,54;6,02;0,181;35,7;9,6;8,5
13:41:36;41;58156;454,34;0,612;0,562;0,814;22,78;21,83;0,381;35,6;9,8;8,8
13:41:37;42;54462;425,48;0,656;0,608;0,851;1,96;2,18;0,192;35,7;7,9;7
13:41:38;43;57916;452,47;0,616;0,567;0,812;1,82;2,04;0,169;35,7;9,3;8,3
13:41:39;44;58649;458,2;0,608;0,557;0,817;27,91;24,19;0,381;35,6;9,4;8,5
13:41:40;45;62528;488,5;0,57;0,522;0,764;1,69;2;0,168;35,7;9,6;8,8
13:41:41;46;61273;478,7;0,583;0,533;0,781;17,57;11,85;0,284;35,7;9,9;8,9
13:41:42;47;65164;509,09;0,548;0,499;0,743;3,42;3,28;0,165;35,7;10,7;9,8
13:41:43;48;59202;462,52;0,604;0,555;0,799;4,56;5,78;0,193;35,7;8,2;7,4
13:41:44;49;61814;482,92;0,578;0,526;0,78;14,9;16,14;0,252;35,7;9,7;8,9
13:41:45;50;68301;533,6;0,519;0,47;0,716;2,5;2,79;0,165;35,6;11,9;11
13:41:46;51;67977;531,07;0,527;0,476;0,736;14,82;22,43;0,365;35,7;11,6;10,7
13:41:47;52;69031;539,3;0,517;0,468;0,711;14,12;8,81;0,204;35,7;11,3;10,3
13:41:48;53;59451;464,46;0,601;0,551;0,805;15,19;14,36;0,33;35,7;9,1;8,2
13:41:49;54;52415;409,49;0,682;0,631;0,888;18,17;17,21;0,288;35,8;6,1;5,3
13:41:50;55;64910;507,11;0,55;0,501;0,745;2,71;3,17;0,174;35,7;10,9;10,1
13:41:51;56;63771;498,21;0,559;0,51;0,759;17,49;13,69;0,284;35,7;11,2;9,6
13:41:52;57;62893;491,35;0,567;0,516;0,765;2,86;1,98;0,166;35,7;10,3;9,3
13:41:53;58;65163;509,09;0,548;0,499;0,745;3,22;1,97;0,167;35,7;10,6;9,6
13:41:54;59;56465;441,13;0,634;0,583;0,832;18,47;17,71;0,293;35,8;8;7
13:41:55;60;50086;391,3;0,714;0,665;0,911;2,85;2,07;0,192;35,8;7;5,4
13:41:56;61;52754;412,14;0,678;0,624;0,892;21,56;18,62;0,441;35,8;7,9;4,9
13:41:57;62;51049;398,82;0,7;0,651;0,896;2,52;2,24;0,191;35,7;7;5,4
13:41:58;63;67316;525,91;0,53;0,481;0,723;5,91;3,72;0,169;35,7;11;10,1
13:41:59;64;66051;516,02;0,541;0,489;0,742;25,97;25,04;0,338;35,7;10,8;9,9
13:42:00;65;62374;487,3;0,572;0,523;0,769;3,71;3,76;0,172;35,7;10;9,2
13:42:01;66;62389;487,41;0,572;0,523;0,768;13,74;10,71;0,224;35,7;9,9;8,2
13:42:02;67;58043;453,46;0,615;0,567;0,806;13,52;14,7;0,221;35,7;8,5;7,5
13:42:03;68;54750;427,73;0,652;0,601;0,848;12,51;9,97;0,248;35,7;9,4;8,2
13:42:04;69;57382;448,3;0,623;0,572;0,823;17,84;18,47;0,292;35,7;8,9;8
13:42:05;70;55493;433,54;0,643;0,594;0,842;1,73;2,04;0,182;35,7;7,8;7,1
13:42:06;71;56577;442,01;0,632;0,581;0,835;17,93;17,12;0,285;35,7;8,1;7,4
13:42:07;72;49994;390,58;0,715;0,66;0,933;22,85;20,84;0,435;35,7;7,7;6,4
13:42:08;73;53034;414,33;0,674;0,62;0,889;24,32;21,91;0,482;35,7;8,3;7,3
13:42:09;74;50839;397,18;0,702;0,653;0,905;20,94;22,48;0,289;35,7;8;7,1
13:42:10;75;59810;467,27;0,596;0,548;0,792;3,29;1,89;0,17;35,7;9;8,2
13:42:11;76;55109;430,54;0,648;0,597;0,847;22,37;16,55;0,319;35,7;8,5;7,6
13:42:12;77;56761;443,45;0,629;0,58;0,826;1,76;2,3;0,176;35,7;8,9;8
13:42:13;78;57527;449,43;0,62;0,572;0,816;1,82;2,24;0,169;35,7;8,3;7,5
13:42:14;79;58862;459,86;0,607;0,554;0,819;25,45;26,6;0,375;35,7;8,9;8,1
13:42:15;80;60145;469,88;0,594;0,545;0,789;1,86;2,65;0,172;35,7;9;8,1
13:42:16;81;59249;462,88;0,602;0,552;0,805;11,54;15,47;0,218;35,7;9,6;8,6
13:42:17;82;58899;460,15;0,606;0,556;0,802;4,22;1,92;0,172;35,7;8,9;8,1
13:42:18;83;55090;430,39;0,649;0,601;0,847;1,87;2,07;0,177;35,8;8,1;7,1
13:42:19;84;53612;418,84;0,668;0,617;0,866;15,74;18,6;0,264;35,8;8,6;7,6
13:42:20;85;55596;434,34;0,64;0,589;0,837;4,23;3,34;0,178;35,6;9,7;8,5
13:42:21;86;60530;472,89;0,59;0,538;0,803;15,78;17,21;0,417;35,7;9,4;8,4
13:42:22;87;56871;444,3;0,627;0,578;0,825;1,72;2;0,168;35,7;8,8;8
13:42:23;88;58924;460,34;0,607;0,557;0,801;2,67;1,95;0,177;35,7;9,1;8,2
13:42:24;89;53035;414,34;0,674;0,624;0,877;17,63;9,5;0,318;35,8;7,3;5,9
13:42:25;90;60947;476,15;0,586;0,536;0,783;1,66;2,4;0,169;35,7;9,6;8,7
13:42:26;91;61430;479,92;0,581;0,53;0,778;17,69;16,24;0,237;35,7;9;8,3
